base,source,relation,target
crc,crc,docs,crcnasc
crc,crc,docs,crccas
crc,crc,docs,crcobt
crc,crc,operacao,arpen
crc,arpen,gestao,cartorios
crc,cartorios,politicas,estatistica_nacional
ic,ic,docs,rg
ic,ic,operacao,iie--2
ic,iie--2,gestao,iie
cpf,cpf,docs,doccpf
cpf,serpro,gestao,receita
cpf,cpf,operacao,serpro
cpf,receita,politicas,ir
cpf,receita,politicas,servicos_bancarios
cpf,receita,politicas,bolsa_familia
cpf,cpf,app,app_cpf
cpf,receita,politicas,polrf1
cpf,receita,politicas,polrf2
cpf,receita,politicas,polrf3
cpf,receita,politicas,polrf4
cpf,receita,politicas,polrf5
cpf,receita,politicas,polrf6
cpf,receita,politicas,polrf7
cpf,receita,politicas,polrf8
cpf,receita,politicas,polrf9
cpf,receita,politicas,polrf10
cpf,receita,politicas,polrf11
ctps,ctps,docs,ctpsdoc
ctps,dataprev,gestao,trabalho
ctps,ctps,operacao,dataprev
ctps,trabalho,politicas,politicas_trabalho
ctps,ctps,app,app_ctps
icn,icn,operacao,tse--2
icn,icn,operacao,serpro
icn,tse,gestao,tse--2
icn,tse,gestao,serpro
icn,icn,app,dni
nis,nis,operacao,caixa--2
nis,caixa,gestao,caixa--2
nis,nis,app,app_fgts
nis,nis,app,app_caixa_trabalhador
nis,nis,app,app_caixa_bolsafamilia
nis,nis,app,app_idjovem
cadunico,cadunico,operacao,caixa--2
cadunico,caixa--2,gestao,mindessoc
cadunico,mindessoc,politicas,bolsa_familia
cadunico,mindessoc,politicas,politicas_trabalho
cadunico,mindessoc,politicas,previdencia
cadunico,mindessoc,politicas,minhacasa
cadunico,mindessoc,politicas,bolsaverde
cadunico,mindessoc,politicas,pol1
cadunico,mindessoc,politicas,pol2
cadunico,mindessoc,politicas,pol3
cadunico,mindessoc,politicas,pol4
cadunico,mindessoc,politicas,pol5
cadunico,mindessoc,politicas,pol6
cadunico,mindessoc,politicas,pol7
cadunico,mindessoc,politicas,pol8
cadunico,mindessoc,politicas,pol9
cadunico,mindessoc,politicas,pol10
cadunico,mindessoc,politicas,pol11
cadunico,mindessoc,politicas,pol12
cadunico,mindessoc,politicas,pol13
cadsus,cadsus,docs,cns
cadsus,cadsus,operacao,datasus
cadsus,cadsus,app,digisus
cadsus,minsaude,gestao,datasus
cadsus,minsaude,politicas,polsaude1
cadsus,minsaude,politicas,polsaude2
cadsus,minsaude,politicas,polsaude3
cadsus,minsaude,politicas,polsaude4
cadsus,minsaude,politicas,polsaude5
cadsus,minsaude,politicas,polsaude6
cadsus,minsaude,politicas,polsaude7
cadsus,minsaude,politicas,polsaude8
cadsus,minsaude,politicas,polsaude9
cadsus,minsaude,politicas,polsaude10
cadsus,minsaude,politicas,polsaude11
cadsus,minsaude,politicas,polsaude12
cadsus,minsaude,politicas,polsaude13
sinasc,sinasc,docs,dnv
sinasc,sinasc,operacao,datasus
sim,sim,docs,do
sim,sim,operacao,datasus
sinasc,minsaude,gestao,datasus
sim,minsaude,gestao,datasus
sirc,sirc,operacao,dataprev
sirc,dataprev,gestao,mindessoc
renach,renach,docs,cnhdoc
renach,renach,operacao,serpro
renach,serpro,gestao,denatran
renach,renach,apps,app_cnhdigital
passaporte,passaporte,docs,passaportedoc
passaporte,serpro,gestao,policiafederal
passaporte,passaporte,operacao,serpro
rani,rani,docs,ranidoc
rani,funai,gestao,funai--2
rani,rani,operacao,funai--2
cam,cam,docs,certreservista
cam,cam,operacao,mindefesa--2
cam,mindefesa--2,gestao,mindefesa
militar,militar,docs,idmilitar
militar,militar,operacao,mindefesa--2
militar,mindefesa--2,gestao,mindefesa
te,te,docs,tedoc
te,te,operacao,tse--2
te,tse,gestao,tse--2
pescador,pescador,operacao,minagro--2
pescador,minagro,gestao,minagro--2
entclasse,entclasse,docs,cart_oab
entclasse,entclasse,docs,cart_crm
entclasse,entclasse,docs,cart_crea
entclasse,entclasse,operacao,entclasseti
entclasse,entclassegestao,gestao,entclasseti
rne,rne,docs,cie
rne,rne,operacao,policiafederal--2
rne,policiafederal,gestao,policiafederal--2
certdigital,certdigital,operacao,iti--2
certdigital,iti,gestao,iti--2
certdigital,iti,politicas,polrf6
